Short_name_row;Short_name_col;p_corrected;cor;abs_cor;cor_d
Single male, with children;Single male, with children <18;0;0.719325693050566;0.719325693050566;p
Not Latino, j Black;Single female, with children;0;0.543536345438046;0.543536345438046;p
Single female, with children;Single female, with children <18;0;0.815877107931158;0.815877107931158;p
All Families;No family;0;-0.999999856959161;0.999999856959161;n
Married Parents;No family;0;-0.768838250811157;0.768838250811157;n
1 bedroom;No family;0;0.554416163162232;0.554416163162232;p
No family;Living alone;0;0.87363547846391;0.87363547846391;p
Married Parents;Living alone;0;-0.689263872883862;0.689263872883862;n
All Families;Living alone;0;-0.873629726349542;0.873629726349542;n
1 bedroom;Living alone;0;0.534391598213785;0.534391598213785;p
Living alone;>65y in living alone;0;0.578328798872131;0.578328798872131;p
Living with people >65;>65y in living alone;0;0.564617107311897;0.564617107311897;p
Married Parents, Children <18;At least 1 person <18;0;0.725884080548285;0.725884080548285;p
Family, Children <18;At least 1 person <18;0;0.960111892522594;0.960111892522594;p
Age >16, not in labor;Living with people >65;0;0.609888378662228;0.609888378662228;p
Age >16, working;Living with people >65;0;-0.609888378662303;0.609888378662303;n
Age >16, employed, civilian;Living with people >65;0;-0.543945829776971;0.543945829776971;n
F age >16, civilian labor force;Living with people >65;0;-0.563621668106472;0.563621668106472;n
Age >16, civilian labor force;Living with people >65;0;-0.585892952228863;0.585892952228863;n
F, age >16, employed, civilian;Living with people >65;0;-0.528396417947009;0.528396417947009;n
F age>16, employed;Living with people >65;0;-0.573791414651455;0.573791414651455;n
With public health insurance;Living with people >65;0;0.515590355444871;0.515590355444871;p
Civilian, all;Pop in households;0;0.99956102235294;0.99956102235294;p
Hispanic/Latino;Pop in households;0;0.588149150465376;0.588149150465376;p
All mortgage status;Pop in households;0;0.944558981204919;0.944558981204919;p
Citizen, age >18;Pop in households;0;0.983212008085068;0.983212008085068;p
All Housing;Pop in households;0;0.976157439281599;0.976157439281599;p
Workers, age >16;Pop in households;0;0.982748168261388;0.982748168261388;p
Civilian labor force;Pop in households;0;0.989973886452203;0.989973886452203;p
Total employed;Pop in households;0;0.983854989856117;0.983854989856117;p
Age <18;Pop in households;0;0.975574308746596;0.975574308746596;p
All (hispanic/latino test);Pop in households;0;0.999024092778018;0.999024092778018;p
Native, US born;Pop in households;0;-0.651342172989555;0.651342172989555;n
One race, other;Pop in households;0;0.517748975542385;0.517748975542385;p
Non family(NF);Pop in households;0;0.843280859953469;0.843280859953469;p
Not labor force;Pop in households;0;0.953180774755495;0.953180774755495;p
All race;Pop in households;0;0.999024092778018;0.999024092778018;p
Civilian age 19-64;Pop in households;0;0.993152666122718;0.993152666122718;p
Total population;Pop in households;0;0.999024092778018;0.999024092778018;p
Female >15y;Pop in households;0;0.995868145946766;0.995868145946766;p
Limited English speaking;Pop in households;0;0.621651330246443;0.621651330246443;p
Children, age <6;Pop in households;0;0.980345898522951;0.980345898522951;p
Age >5;Pop in households;0;0.998660707807913;0.998660707807913;p
Grands care for grandkids <18;Pop in households;0;0.785144439722887;0.785144439722887;p
Not Hispanic/Latino;Pop in households;0;-0.588149150465315;0.588149150465315;n
Ancestry All;Pop in households;0;0.999024092778018;0.999024092778018;p
Grandparent w/ grandchild <18;Pop in households;0;0.864484255757074;0.864484255757074;p
Rent/income;Pop in households;0;0.857526162703011;0.857526162703011;p
Unemployed;Pop in households;0;0.850530913031851;0.850530913031851;p
White;Pop in households;0;-0.540433723044086;0.540433723044086;n
C age 6-17;Pop in households;0;0.963130439813328;0.963130439813328;p
All bedrooms;Pop in households;0;0.976157439281599;0.976157439281599;p
White, race;Pop in households;0;-0.544361434644276;0.544361434644276;n
Some other race;Pop in households;0;0.523932050231872;0.523932050231872;p
All Households;Pop in households;0;0.980353521186862;0.980353521186862;p
Employed pop age >16;Pop in households;0;0.983854989856117;0.983854989856117;p
All income;Pop in households;0;0.980353521186862;0.980353521186862;p
Age >5, English only;Pop in households;0;-0.668013045163194;0.668013045163194;n
Age 18 - 64;Pop in households;0;0.992846269961118;0.992846269961118;p
Non-Hispanic White;Pop in households;0;-0.629980802980126;0.629980802980126;n
Heat fuel - occupied;Pop in households;0;0.980353521186862;0.980353521186862;p
Female, age15-50, w child<1y;Pop in households;0;0.953777952476177;0.953777952476177;p
Male >15y;Pop in households;0;0.993451967237305;0.993451967237305;p
Occupants/room;Pop in households;0;0.980353521186862;0.980353521186862;p
Families;Pop in households;0;0.989688616533764;0.989688616533764;p
Native;Pop in households;0;-0.643857358781822;0.643857358781822;n
Civilian population;Pop in households;0;0.99956102235294;0.99956102235294;p
Non-English speaker;Pop in households;0;0.668013045163192;0.668013045163192;p
Speak Spanish;Pop in households;0;0.596786803397027;0.596786803397027;p
Employed people;Pop in households;0;0.982148269729611;0.982148269729611;p
Value of homes;Pop in households;0;0.944558981204919;0.944558981204919;p
Foreign Born, place of birth;Pop in households;0;0.643857358781843;0.643857358781843;p
Occupied tenure;Pop in households;0;0.980353521186862;0.980353521186862;p
Civilian age <19;Pop in households;0;0.977084377652395;0.977084377652395;p
Take public transportation to work;Pop in households;0;0.560770019498132;0.560770019498132;p
All Race(alone or combo);Pop in households;0;0.999024092778018;0.999024092778018;p
Mexican;Pop in households;0;0.550620661823543;0.550620661823543;p
Age >16;Pop in households;0;0.995969352912315;0.995969352912315;p
All computers/internet;Pop in households;0;0.980353521186862;0.980353521186862;p
Total labor force age 19-64;Pop in households;0;0.988028404858773;0.988028404858773;p
Age >=25;Pop in households;0;0.994428961733766;0.994428961733766;p
Gross rent;Pop in households;0;0.853598938046313;0.853598938046313;p
Only speak Spanish;Pop in households;0;0.536329174373271;0.536329174373271;p
F age>16;Pop in households;0;0.995462456861425;0.995462456861425;p
Age >65;Pop in households;0;0.934862367925241;0.934862367925241;p
Family, Children <18;Householder;0;-0.653911900612217;0.653911900612217;n
Child;Householder;0;-0.784794841128174;0.784794841128174;n
No family;Householder;0;0.623434606317953;0.623434606317953;p
All Families;Householder;0;-0.623400387612869;0.623400387612869;n
At least 1 person <18;Householder;0;-0.702909584146956;0.702909584146956;n
Living alone;Householder;0;0.65361793406836;0.65361793406836;p
Married Parents, Children <18;Householder;0;-0.597432466959191;0.597432466959191;n
Single female, with children;Living with spouse;0;-0.59008184791472;0.59008184791472;n
Owner occupied;Living with spouse;0;0.563041493736697;0.563041493736697;p
Male, married, separated;Living with spouse;0;0.831805195480506;0.831805195480506;p
Married Parents;Living with spouse;0;0.851878899771473;0.851878899771473;p
Renter occupied;Living with spouse;0;-0.563020266701843;0.563020266701843;n
W/ SNAP last 12 mo;Living with spouse;0;-0.534449206532593;0.534449206532593;n
Black/African American, race;Living with spouse;0;-0.548084007222037;0.548084007222037;n
Black/African American;Living with spouse;0;-0.557017028811992;0.557017028811992;n
All Families;Living with spouse;0;0.50951286483308;0.50951286483308;p
White, race;Living with spouse;0;0.568485552298233;0.568485552298233;p
Not Latino, j Black;Living with spouse;0;-0.546780781105851;0.546780781105851;n
Non-Hispanic White;Living with spouse;0;0.58113698454413;0.58113698454413;p
Not living with spouse or children;Living with spouse;0;-0.504189601085493;0.504189601085493;n
White;Living with spouse;0;0.56499929087378;0.56499929087378;p
Male, unmarried;Living with spouse;0;-0.728902086572517;0.728902086572517;n
No family;Living with spouse;0;-0.509482435911447;0.509482435911447;n
Female, married, separated;Living with spouse;0;0.861974041463248;0.861974041463248;p
Female, never married;Living with spouse;0;-0.699829019183046;0.699829019183046;n
Married Parents, Children <18;Child;0;0.596828478682795;0.596828478682795;p
At least 1 person <18;Child;0;0.761462266680149;0.761462266680149;p
Family, Children <18;Child;0;0.77244874853122;0.77244874853122;p
Black/African American;Not living with spouse or children;0;0.500046621438339;0.500046621438339;p
White, race;Not living with spouse or children;0;-0.541377599279636;0.541377599279636;n
Non-Hispanic White;Not living with spouse or children;0;-0.560615248555185;0.560615248555185;n
White;Not living with spouse or children;0;-0.540784576048803;0.540784576048803;n
Living with roomates;Unmarried partner;0;0.620062814083719;0.620062814083719;p
Mexican;Male >15y;0;0.538585262483306;0.538585262483306;p
Hispanic/Latino;Male >15y;0;0.578251624234306;0.578251624234306;p
Limited English speaking;Male >15y;0;0.618570753993143;0.618570753993143;p
All Households;Male >15y;0;0.984300531671678;0.984300531671678;p
Non family(NF);Male >15y;0;0.867723831829266;0.867723831829266;p
All bedrooms;Male >15y;0;0.979322678328426;0.979322678328426;p
F age>16;Male >15y;0;0.993070371493738;0.993070371493738;p
Not Hispanic/Latino;Male >15y;0;-0.578251624234253;0.578251624234253;n
Age >5, English only;Male >15y;0;-0.665946788570306;0.665946788570306;n
Ancestry All;Male >15y;0;0.996432003135786;0.996432003135786;p
Civilian age <19;Male >15y;0;0.957688167265734;0.957688167265734;p
Total labor force age 19-64;Male >15y;0;0.991080260708;0.991080260708;p
Grandparent w/ grandchild <18;Male >15y;0;0.833049165987174;0.833049165987174;p
Only speak Spanish;Male >15y;0;0.52518124694354;0.52518124694354;p
Non-Hispanic White;Male >15y;0;-0.613445922787709;0.613445922787709;n
Total employed;Male >15y;0;0.988789076743945;0.988789076743945;p
Unemployed;Male >15y;0;0.826788827010265;0.826788827010265;p
Age <18;Male >15y;0;0.954300742167192;0.954300742167192;p
Not labor force;Male >15y;0;0.950614271524232;0.950614271524232;p
Employed people;Male >15y;0;0.987489830360809;0.987489830360809;p
Age >65;Male >15y;0;0.926505229012294;0.926505229012294;p
Age >=25;Male >15y;0;0.993924831160548;0.993924831160548;p
Age 18 - 64;Male >15y;0;0.995008294775506;0.995008294775506;p
All (hispanic/latino test);Male >15y;0;0.996432003135786;0.996432003135786;p
Grands care for grandkids <18;Male >15y;0;0.750172802743623;0.750172802743623;p
Citizen, age >18;Male >15y;0;0.987129999871289;0.987129999871289;p
All income;Male >15y;0;0.984300531671678;0.984300531671678;p
Civilian labor force;Male >15y;0;0.992529975706727;0.992529975706727;p
Workers, age >16;Male >15y;0;0.988819969455871;0.988819969455871;p
Non-English speaker;Male >15y;0;0.665946788570302;0.665946788570302;p
Children, age <6;Male >15y;0;0.965728771659972;0.965728771659972;p
Female >15y;Male >15y;0;0.993097509296495;0.993097509296495;p
Civilian, all;Male >15y;0;0.994699239404554;0.994699239404554;p
Occupied tenure;Male >15y;0;0.984300531671678;0.984300531671678;p
All Housing;Male >15y;0;0.979322678328426;0.979322678328426;p
Rent/income;Male >15y;0;0.871826601009953;0.871826601009953;p
Age >16;Male >15y;0;0.998200362552377;0.998200362552377;p
Female, age15-50, w child<1y;Male >15y;0;0.944881949664363;0.944881949664363;p
Civilian population;Male >15y;0;0.994699239404554;0.994699239404554;p
Speak Spanish;Male >15y;0;0.585206167786728;0.585206167786728;p
Heat fuel - occupied;Male >15y;0;0.984300531671678;0.984300531671678;p
Families;Male >15y;0;0.979232627434546;0.979232627434546;p
Civilian age 19-64;Male >15y;0;0.995064115016458;0.995064115016458;p
Gross rent;Male >15y;0;0.868010704974089;0.868010704974089;p
Value of homes;Male >15y;0;0.939852369185112;0.939852369185112;p
All computers/internet;Male >15y;0;0.984300531671678;0.984300531671678;p
Age >5;Male >15y;0;0.996913247936625;0.996913247936625;p
C age 6-17;Male >15y;0;0.939620740935274;0.939620740935274;p
Take public transportation to work;Male >15y;0;0.567072537757881;0.567072537757881;p
Owner occupied;Male, unmarried;0;-0.577938317385;0.577938317385;n
Renter occupied;Male, unmarried;0;0.577927510156108;0.577927510156108;p
Non-Hispanic White;Male, unmarried;0;-0.567880865505705;0.567880865505705;n
Married Parents;Male, unmarried;0;-0.612282688664058;0.612282688664058;n
Female, married, separated;Male, unmarried;0;-0.64268817198604;0.64268817198604;n
Female, never married;Male, unmarried;0;0.661152723258738;0.661152723258738;p
Married Parents;Male, married, separated;0;0.799678831844489;0.799678831844489;p
Owner occupied;Male, married, separated;0;0.528789583144534;0.528789583144534;p
Renter occupied;Male, married, separated;0;-0.528779553582075;0.528779553582075;n
Female, married, separated;Male, married, separated;0;0.727208406302793;0.727208406302793;p
Female, never married;Male, married, separated;0;-0.613284797936387;0.613284797936387;n
Male, unmarried;Male, married, separated;0;-0.836564473454315;0.836564473454315;n
No family;Male, married, separated;0;-0.547867826434195;0.547867826434195;n
All Families;Male, married, separated;0;0.547899618310825;0.547899618310825;p
Civilian labor force;Female >15y;0;0.989293214780351;0.989293214780351;p
Female, age15-50, w child<1y;Female >15y;0;0.944879704692352;0.944879704692352;p
Age 18 - 64;Female >15y;0;0.993677218082268;0.993677218082268;p
Unemployed;Female >15y;0;0.851677158135802;0.851677158135802;p
Hispanic/Latino;Female >15y;0;0.554328797880979;0.554328797880979;p
All (hispanic/latino test);Female >15y;0;0.997033507977334;0.997033507977334;p
Speak Spanish;Female >15y;0;0.56111415013715;0.56111415013715;p
Mexican;Female >15y;0;0.514019790913596;0.514019790913596;p
Grandparent w/ grandchild <18;Female >15y;0;0.842331274672746;0.842331274672746;p
Age <18;Female >15y;0;0.957424487300467;0.957424487300467;p
Civilian, all;Female >15y;0;0.997026411645036;0.997026411645036;p
Not Hispanic/Latino;Female >15y;0;-0.554328797880937;0.554328797880937;n
Heat fuel - occupied;Female >15y;0;0.98947057497117;0.98947057497117;p
F age>16;Female >15y;0;0.999969187695019;0.999969187695019;p
Occupied tenure;Female >15y;0;0.98947057497117;0.98947057497117;p
Ancestry All;Female >15y;0;0.997033507977334;0.997033507977334;p
Civilian population;Female >15y;0;0.997026411645036;0.997026411645036;p
All income;Female >15y;0;0.98947057497117;0.98947057497117;p
Age >16;Female >15y;0;0.998291982720318;0.998291982720318;p
Gross rent;Female >15y;0;0.872079993438829;0.872079993438829;p
Value of homes;Female >15y;0;0.945071690628467;0.945071690628467;p
Rent/income;Female >15y;0;0.874756844242257;0.874756844242257;p
Only speak Spanish;Female >15y;0;0.500815996779715;0.500815996779715;p
All Households;Female >15y;0;0.98947057497117;0.98947057497117;p
Total employed;Female >15y;0;0.98304569611499;0.98304569611499;p
Age >5, English only;Female >15y;0;-0.648094665813461;0.648094665813461;n
Grands care for grandkids <18;Female >15y;0;0.774352616874533;0.774352616874533;p
Age >=25;Female >15y;0;0.995145288005663;0.995145288005663;p
Non-Hispanic White;Female >15y;0;-0.629814430857667;0.629814430857667;n
All computers/internet;Female >15y;0;0.98947057497117;0.98947057497117;p
C age 6-17;Female >15y;0;0.943075407841575;0.943075407841575;p
Total labor force age 19-64;Female >15y;0;0.986996728081229;0.986996728081229;p
Not labor force;Female >15y;0;0.959775710059763;0.959775710059763;p
Age >65;Female >15y;0;0.944720010174001;0.944720010174001;p
Non family(NF);Female >15y;0;0.873387610475665;0.873387610475665;p
Non-English speaker;Female >15y;0;0.648094665813464;0.648094665813464;p
Employed people;Female >15y;0;0.980944684055327;0.980944684055327;p
Workers, age >16;Female >15y;0;0.98214174307902;0.98214174307902;p
Age >5;Female >15y;0;0.99752711052377;0.99752711052377;p
Civilian age 19-64;Female >15y;0;0.993708186059831;0.993708186059831;p
Civilian age <19;Female >15y;0;0.960632647022525;0.960632647022525;p
Citizen, age >18;Female >15y;0;0.992491617334495;0.992491617334495;p
Limited English speaking;Female >15y;0;0.599418184740946;0.599418184740946;p
All bedrooms;Female >15y;0;0.987141345509393;0.987141345509393;p
Families;Female >15y;0;0.983617204692903;0.983617204692903;p
Take public transportation to work;Female >15y;0;0.583014236942066;0.583014236942066;p
All Housing;Female >15y;0;0.987141345509393;0.987141345509393;p
Children, age <6;Female >15y;0;0.964984551938677;0.964984551938677;p
Not Latino, j Black;Female, never married;0;0.511410530790721;0.511410530790721;p
Renter occupied;Female, never married;0;0.559411843935932;0.559411843935932;p
Gross rent;Female, never married;0;0.5175499562623;0.5175499562623;p
Married Parents;Female, never married;0;-0.581555804634392;0.581555804634392;n
Rent/income;Female, never married;0;0.511039015453692;0.511039015453692;p
Owner occupied;Female, never married;0;-0.559419817518081;0.559419817518081;n
Non-Hispanic White;Female, never married;0;-0.597408155337776;0.597408155337776;n
Female, never married;Female, married, separated;0;-0.760445952245416;0.760445952245416;n
Non-Hispanic White;Female, married, separated;0;0.544002176212587;0.544002176212587;p
Not Latino, j Black;Female, married, separated;0;-0.543184955971804;0.543184955971804;n
Renter occupied;Female, married, separated;0;-0.564566389803963;0.564566389803963;n
Owner occupied;Female, married, separated;0;0.564567032207228;0.564567032207228;p
No family;Female, married, separated;0;-0.543635144028905;0.543635144028905;n
Single female, with children;Female, married, separated;0;-0.575307428340363;0.575307428340363;n
All Families;Female, married, separated;0;0.54363526017051;0.54363526017051;p
Married Parents;Female, married, separated;0;0.842068096308433;0.842068096308433;p
Not Latino, 2+ others, not some other race;Female, separated;0;0.520707109269044;0.520707109269044;p
Not Latino, 2+ other races;Female, separated;0;0.519277253867519;0.519277253867519;p
>65y in living alone;Female , widowed;0;0.507527215280679;0.507527215280679;p
Age 18 - 64;Female, age15-50, w child<1y;0;0.949259606106449;0.949259606106449;p
Workers, age >16;Female, age15-50, w child<1y;0;0.935186162636423;0.935186162636423;p
Age >=25;Female, age15-50, w child<1y;0;0.941707740542919;0.941707740542919;p
All bedrooms;Female, age15-50, w child<1y;0;0.923987163508837;0.923987163508837;p
Ancestry All;Female, age15-50, w child<1y;0;0.952626237418881;0.952626237418881;p
Civilian, all;Female, age15-50, w child<1y;0;0.952988235028185;0.952988235028185;p
Age >65;Female, age15-50, w child<1y;0;0.85628142991967;0.85628142991967;p
Age <18;Female, age15-50, w child<1y;0;0.942332457158719;0.942332457158719;p
Take public transportation to work;Female, age15-50, w child<1y;0;0.537343355546524;0.537343355546524;p
All computers/internet;Female, age15-50, w child<1y;0;0.925513937681644;0.925513937681644;p
F age>16;Female, age15-50, w child<1y;0;0.944365167675165;0.944365167675165;p
C age 6-17;Female, age15-50, w child<1y;0;0.918896560898555;0.918896560898555;p
Age >16;Female, age15-50, w child<1y;0;0.946136698852422;0.946136698852422;p
Children, age <6;Female, age15-50, w child<1y;0;0.966155850851832;0.966155850851832;p
Citizen, age >18;Female, age15-50, w child<1y;0;0.925474687741447;0.925474687741447;p
Civilian labor force;Female, age15-50, w child<1y;0;0.943485028791222;0.943485028791222;p
All computers/internet;Grandparent w/ grandchild <18;0;0.776984166858967;0.776984166858967;p
Age >16;Grandparent w/ grandchild <18;0;0.837313113790072;0.837313113790072;p
Civilian labor force;Grandparent w/ grandchild <18;0;0.812713186116907;0.812713186116907;p
Age >65;Grandparent w/ grandchild <18;0;0.77095219282764;0.77095219282764;p
Citizen, age >18;Grandparent w/ grandchild <18;0;0.794047325541838;0.794047325541838;p
Age <18;Grandparent w/ grandchild <18;0;0.910170378934042;0.910170378934042;p
Age 18 - 64;Grandparent w/ grandchild <18;0;0.834705529065118;0.834705529065118;p
Civilian, all;Grandparent w/ grandchild <18;0;0.860087001385468;0.860087001385468;p
Female, age15-50, w child<1y;Grandparent w/ grandchild <18;0;0.860733001956476;0.860733001956476;p
C age 6-17;Grandparent w/ grandchild <18;0;0.90123705317595;0.90123705317595;p
Age >=25;Grandparent w/ grandchild <18;0;0.830078312303361;0.830078312303361;p
Workers, age >16;Grandparent w/ grandchild <18;0;0.788010274279746;0.788010274279746;p
All bedrooms;Grandparent w/ grandchild <18;0;0.781555398307663;0.781555398307663;p
F age>16;Grandparent w/ grandchild <18;0;0.840398379303421;0.840398379303421;p
Children, age <6;Grandparent w/ grandchild <18;0;0.889560259108382;0.889560259108382;p
Ancestry All;Grandparent w/ grandchild <18;0;0.858443222644198;0.858443222644198;p
Grandparent responsible for grandchild <18,;Grand w kid for >5 years;0;0.549221186201085;0.549221186201085;p
Ancestry All;Grands care for grandkids <18;0;0.780644542927651;0.780644542927651;p
C age 6-17;Grands care for grandkids <18;0;0.81059478203646;0.81059478203646;p
Workers, age >16;Grands care for grandkids <18;0;0.695543080747164;0.695543080747164;p
Citizen, age >18;Grands care for grandkids <18;0;0.743584330692765;0.743584330692765;p
Civilian, all;Grands care for grandkids <18;0;0.781547662717639;0.781547662717639;p
Age 18 - 64;Grands care for grandkids <18;0;0.753516570906209;0.753516570906209;p
All bedrooms;Grands care for grandkids <18;0;0.738856261355514;0.738856261355514;p
Civilian labor force;Grands care for grandkids <18;0;0.725169080418596;0.725169080418596;p
Grandparent w/ grandchild <18;Grands care for grandkids <18;0;0.915248741098013;0.915248741098013;p
Age <18;Grands care for grandkids <18;0;0.825706742889946;0.825706742889946;p
Female, age15-50, w child<1y;Grands care for grandkids <18;0;0.79082436128765;0.79082436128765;p
Children, age <6;Grands care for grandkids <18;0;0.803450293004643;0.803450293004643;p
Age >16;Grands care for grandkids <18;0;0.762093840328051;0.762093840328051;p
Age >65;Grands care for grandkids <18;0;0.726975065271305;0.726975065271305;p
Age >=25;Grands care for grandkids <18;0;0.754857912693661;0.754857912693661;p
F age>16;Grands care for grandkids <18;0;0.772688786677699;0.772688786677699;p
All computers/internet;Grands care for grandkids <18;0;0.724275843176362;0.724275843176362;p
Children, age <6;In school, age >3;0;0.954898593913155;0.954898593913155;p
Non-English speaker;In school, age >3;0;0.651280535458799;0.651280535458799;p
All income;In school, age >3;0;0.936479199975218;0.936479199975218;p
Female, age15-50, w child<1y;In school, age >3;0;0.926326505188964;0.926326505188964;p
Heat fuel - occupied;In school, age >3;0;0.936479199975218;0.936479199975218;p
Total employed;In school, age >3;0;0.945548757517848;0.945548757517848;p
Employed people;In school, age >3;0;0.943182844166267;0.943182844166267;p
Age >=25;In school, age >3;0;0.947947507665108;0.947947507665108;p
Unemployed;In school, age >3;0;0.842080983754589;0.842080983754589;p
Age <18;In school, age >3;0;0.963183458909029;0.963183458909029;p
All Housing;In school, age >3;0;0.933792157152159;0.933792157152159;p
Grandparent w/ grandchild <18;In school, age >3;0;0.853982038069236;0.853982038069236;p
White, race;In school, age >3;0;-0.549225737284748;0.549225737284748;n
Native;In school, age >3;0;-0.621888183492484;0.621888183492484;n
Civilian age 19-64;In school, age >3;0;0.966790361058087;0.966790361058087;p
All (hispanic/latino test);In school, age >3;0;0.973964665291827;0.973964665291827;p
Only speak Spanish;In school, age >3;0;0.536519454362504;0.536519454362504;p
Not Hispanic/Latino;In school, age >3;0;-0.58575756923107;0.58575756923107;n
Occupants/room;In school, age >3;0;0.936479199975218;0.936479199975218;p
Not labor force;In school, age >3;0;0.969592662163411;0.969592662163411;p
All rooms;In school, age >3;0;0.933792157152159;0.933792157152159;p
Some other race;In school, age >3;0;0.528111334363805;0.528111334363805;p
F age>16;In school, age >3;0;0.967176552225218;0.967176552225218;p
Occupied tenure;In school, age >3;0;0.936479199975218;0.936479199975218;p
Limited English speaking;In school, age >3;0;0.603818264320837;0.603818264320837;p
Age >5;In school, age >3;0;0.973832207917866;0.973832207917866;p
Pop in households;In school, age >3;0;0.969956982679069;0.969956982679069;p
C age 6-17;In school, age >3;0;0.957087763981036;0.957087763981036;p
White;In school, age >3;0;-0.545744495265012;0.545744495265012;n
All computers/internet;In school, age >3;0;0.936479199975218;0.936479199975218;p
Value of homes;In school, age >3;0;0.89773132122192;0.89773132122192;p
Workers, age >16;In school, age >3;0;0.944179754667789;0.944179754667789;p
All Race(alone or combo);In school, age >3;0;0.973964665291827;0.973964665291827;p
Total labor force age 19-64;In school, age >3;0;0.950899788686477;0.950899788686477;p
Employed pop age >16;In school, age >3;0;0.945548757517848;0.945548757517848;p
Hispanic/Latino;In school, age >3;0;0.585757569231126;0.585757569231126;p
One race, other;In school, age >3;0;0.52364522328157;0.52364522328157;p
Citizen, age >18;In school, age >3;0;0.950650329363925;0.950650329363925;p
Civilian population;In school, age >3;0;0.974530906483009;0.974530906483009;p
Rent/income;In school, age >3;0;0.820479988201455;0.820479988201455;p
Total population;In school, age >3;0;0.973964665291827;0.973964665291827;p
Age >1;In school, age >3;0;0.974110154602465;0.974110154602465;p
All bedrooms;In school, age >3;0;0.933792157152159;0.933792157152159;p
Age >16;In school, age >3;0;0.968069681781593;0.968069681781593;p
Ancestry All;In school, age >3;0;0.973964665291827;0.973964665291827;p
Mexican;In school, age >3;0;0.555807794878016;0.555807794878016;p
Civilian labor force;In school, age >3;0;0.953597155791925;0.953597155791925;p
Female >15y;In school, age >3;0;0.968011434697689;0.968011434697689;p
Speak Spanish;In school, age >3;0;0.596942730954075;0.596942730954075;p
Non family(NF);In school, age >3;0;0.791952732656385;0.791952732656385;p
All race;In school, age >3;0;0.973964665291827;0.973964665291827;p
Civilian age <19;In school, age >3;0;0.971531252000326;0.971531252000326;p
Age 18 - 64;In school, age >3;0;0.969505945285056;0.969505945285056;p
Gross rent;In school, age >3;0;0.821587372715716;0.821587372715716;p
Foreign Born, place of birth;In school, age >3;0;0.621888183492508;0.621888183492508;p
All mortgage status;In school, age >3;0;0.89773132122192;0.89773132122192;p
All Households;In school, age >3;0;0.936479199975218;0.936479199975218;p
Civilian, all;In school, age >3;0;0.974530906483009;0.974530906483009;p
Age >65;In school, age >3;0;0.882304689677322;0.882304689677322;p
Age >5, English only;In school, age >3;0;-0.651280535458804;0.651280535458804;n
Male >15y;In school, age >3;0;0.966372248496477;0.966372248496477;p
Grands care for grandkids <18;In school, age >3;0;0.771176381397194;0.771176381397194;p
Take public transportation to work;In school, age >3;0;0.529059962710103;0.529059962710103;p
Non-Hispanic White;In school, age >3;0;-0.631862479398667;0.631862479398667;n
Families;In school, age >3;0;0.954719232136923;0.954719232136923;p
