Name,Label,Short_name1,Short_name2,Short_name3,Concept
DP02_0024PE,Percent Estimate!!MARITAL STATUS!!Males 15 years and over,MARITAL STATUS!!Males 15 years and over,Males 15 years and over,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0025PE,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,MARITAL STATUS!!Males 15 years and over!!Never married,Males 15 years and over!!Never married,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0026PE,"Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated","MARITAL STATUS!!Males 15 years and over!!Now married, except separated","Males 15 years and over!!Now married, except separated",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0027PE,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,MARITAL STATUS!!Males 15 years and over!!Separated,Males 15 years and over!!Separated,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0028PE,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,MARITAL STATUS!!Males 15 years and over!!Widowed,Males 15 years and over!!Widowed,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0029PE,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,MARITAL STATUS!!Males 15 years and over!!Divorced,Males 15 years and over!!Divorced,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0030PE,Percent Estimate!!MARITAL STATUS!!Females 15 years and over,MARITAL STATUS!!Females 15 years and over,Females 15 years and over,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0031PE,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,MARITAL STATUS!!Females 15 years and over!!Never married,Females 15 years and over!!Never married,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0032PE,"Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated","MARITAL STATUS!!Females 15 years and over!!Now married, except separated","Females 15 years and over!!Now married, except separated",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0033PE,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,MARITAL STATUS!!Females 15 years and over!!Separated,Females 15 years and over!!Separated,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0034PE,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,MARITAL STATUS!!Females 15 years and over!!Widowed,Females 15 years and over!!Widowed,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0035PE,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,MARITAL STATUS!!Females 15 years and over!!Divorced,Females 15 years and over!!Divorced,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0036PE,Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,Number of women 15 to 50 years old who had a birth in the past 12 months,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0037PE,"Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)","Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0038PE,"Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0039PE,"Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old","Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0040PE,"Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0041PE,"Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0042PE,"Percent Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0043PE,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,Number of grandparents living with own grandchildren under 18 years,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0044PE,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0045PE,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0046PE,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0047PE,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0048PE,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0049PE,Percent Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,Number of grandparents responsible for own grandchildren under 18 years,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0050PE,Percent Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,Number of grandparents responsible for own grandchildren under 18 years!!Who are female,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0051PE,Percent Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,Number of grandparents responsible for own grandchildren under 18 years!!Who are married,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0052PE,Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,Population 3 years and over enrolled in school,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0053PE,"Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Nursery school, preschool",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0054PE,Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0055PE,Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),Population 3 years and over enrolled in school!!Elementary school (grades 1-8),,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0056PE,Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),Population 3 years and over enrolled in school!!High school (grades 9-12),,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0057PE,Percent Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,Population 3 years and over enrolled in school!!College or graduate school,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0058PE,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,EDUCATIONAL ATTAINMENT!!Population 25 years and over,Population 25 years and over,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0059PE,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,Population 25 years and over!!Less than 9th grade,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0060PE,"Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!9th to 12th grade, no diploma",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0061PE,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),Population 25 years and over!!High school graduate (includes equivalency),,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0062PE,"Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","Population 25 years and over!!Some college, no degree",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0063PE,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Population 25 years and over!!Associate's degree,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0064PE,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Population 25 years and over!!Bachelor's degree,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0065PE,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Population 25 years and over!!Graduate or professional degree,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0066PE,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,Population 25 years and over!!High school graduate or higher,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0067PE,Percent Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Population 25 years and over!!Bachelor's degree or higher,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0068PE,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over,VETERAN STATUS!!Civilian population 18 years and over,Civilian population 18 years and over,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0069PE,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,Civilian population 18 years and over!!Civilian veterans,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0070PE,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,Total Civilian Noninstitutionalized Population,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0071PE,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability,Total Civilian Noninstitutionalized Population!!With a disability,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0072PE,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,Under 18 years,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0073PE,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability,Under 18 years!!With a disability,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0074PE,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,18 to 64 years,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0075PE,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability,18 to 64 years!!With a disability,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0076PE,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,65 years and over,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0077PE,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability,65 years and over!!With a disability,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0078PE,Percent Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over,RESIDENCE 1 YEAR AGO!!Population 1 year and over,Population 1 year and over,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0079PE,Percent Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house,Population 1 year and over!!Same house,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0080PE,Percent Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.,Population 1 year and over!!Different house in the U.S.,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0081PE,Percent Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Same county,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Same county,Population 1 year and over!!Different house in the U.S.!!Same county,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0082PE,Percent Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county,Population 1 year and over!!Different house in the U.S.!!Different county,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0083PE,Percent Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Same state,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Same state,Population 1 year and over!!Different house in the U.S.!!Different county!!Same state,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0084PE,Percent Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Different state,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the U.S.!!Different county!!Different state,Population 1 year and over!!Different house in the U.S.!!Different county!!Different state,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0085PE,Percent Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Abroad,RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Abroad,Population 1 year and over!!Abroad,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0086PE,Percent Estimate!!PLACE OF BIRTH!!Total population,PLACE OF BIRTH!!Total population,Total population,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0087PE,Percent Estimate!!PLACE OF BIRTH!!Total population!!Native,PLACE OF BIRTH!!Total population!!Native,Total population!!Native,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0088PE,Percent Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States,PLACE OF BIRTH!!Total population!!Native!!Born in United States,Total population!!Native!!Born in United States,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0089PE,Percent Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence,PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence,Total population!!Native!!Born in United States!!State of residence,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0090PE,Percent Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state,PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state,Total population!!Native!!Born in United States!!Different state,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0091PE,"Percent Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0092PE,Percent Estimate!!PLACE OF BIRTH!!Total population!!Foreign born,PLACE OF BIRTH!!Total population!!Foreign born,Total population!!Foreign born,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0093PE,Percent Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,U.S. CITIZENSHIP STATUS!!Foreign-born population,Foreign-born population,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
