Name,Short_name
DP04_0030PE,3 rooms
DP04_0031PE,4 rooms
DP04_0032PE,5 rooms
DP04_0033PE,6 rooms
DP04_0034PE,7 rooms
DP04_0035PE,8 rooms
DP04_0036PE,9+ rooms
DP04_0037PE,Median rooms
DP02_0052PE,"In school, age >3"
DP02_0057PE,"In college/grad school, age >3"
DP02_0055PE,"In elementary, age >3"
DP02_0056PE,"In high school, age >3"
DP02_0054PE,"In Kindergarten, age >3"
DP02_0053PE,"In nursery/preschool, age >3"
DP04_0072PE,Occupied houses
DP04_0074PE,Kitchen not done
DP04_0073PE,Incomplete plumbing
DP04_0075PE,No phone in house
DP04_0093PE,Cost/mo w/ mortgage
DP04_0096PE,SMOC w/mortgage $1-1.5k
DP04_0097PE,SMOC w/mortgage $1.5-2k
DP04_0098PE,SMOC w/mortgage $2-2.5k
DP04_0099PE,SMOC w/mortgage $2.5-3k
DP04_0100PE,SMOC w/mortgage $>3000
DP04_0095PE,SMOC w/mortgage $500-1k
DP04_0094PE,SMOC w/ mortgage $ <500
DP04_0101PE,Median SMOC w/ mortgage
DP04_0102PE,SMOC w/o mortgage
DP04_0108PE,SMOC w/o morg. $>1k
DP04_0104PE,SMOC w/o morg. $250-400
DP04_0105PE,SMOC w/o morg. $400-600
DP04_0106PE,SMOC w/o morg. $600-800
DP04_0107PE,SMOC w/o morg. $800-1k
DP04_0103PE,SMOC w/o morg. $<250
DP04_0109PE,Median SMOC w/o morg.
DP04_0117PE,SMOC/income w/o morg.
DP04_0119PE,SMOC/income w/o morg. 10-15%
DP04_0120PE,SMOC/income w/o morg. 15-20%
DP04_0121PE,SMOC/income w/o morg. 20-25%
DP04_0122PE,SMOC/income w/o morg. 25-30%
DP04_0123PE,SMOC/income w/o morg. 30-35%
DP04_0124PE,SMOC/income w/o morg. >35%
DP04_0118PE,SMOC/income w/o morg. <10%
DP04_0125PE,SMOC/income w/o morg. not computed
DP04_0110PE,SMOC/income w/morg.
DP04_0112PE,SMOC/income w/morg. 20-25%
DP04_0113PE,SMOC/income w/morg. 25-30%
DP04_0114PE,SMOC/income w/morg. 30-35%
DP04_0115PE,SMOC/income w/morg. >35%
DP04_0111PE,SMOC/income w/morg. <20%
DP04_0116PE,SMOC/income w/morg. not computed
DP05_0001PE,Sex/age all
DP05_0007PE,Age 10-14
DP05_0008PE,Age 15-19
DP05_0020PE,"Age >16, total"
DP05_0021PE,Age >18
DP05_0025PE,"Age >18, total"
DP05_0027PE,"Age >18, Female"
DP05_0026PE,"Age >18, Male"
DP05_0028PE,"Age >18, M/100F"
DP05_0009PE,Age 20-24
DP05_0022PE,Age >21
DP05_0010PE,Age 25-34
DP05_0011PE,Age 35-44
DP05_0012PE,Age 45-54
DP05_0006PE,Age 5-9
DP05_0013PE,Age 55-59
DP05_0014PE,Age 60-64
DP05_0023PE,Age >62
DP05_0015PE,Age 65-74
DP05_0024PE,"Age >65, total"
DP05_0029PE,"Age >65, total"
DP05_0031PE,"Age >65, Female"
DP05_0030PE,"Age >65, Male"
DP05_0032PE,"Age >65, M/100F"
DP05_0016PE,Age 75-84
DP05_0017PE,Age >85
DP05_0003PE,Female
DP05_0002PE,Male
DP05_0018PE,Median Age
DP05_0004PE,Male/100Female
DP05_0019PE,"Age <18, total"
DP05_0005PE,Age <5
DP02_0093PE,"Foreign Born, citizenship status"
DP02_0094PE,"Foreign Born, naturalized"
DP02_0095PE,"Foreign Born, not US citizen"
DP04_0006PE,All units in structure
DP04_0012PE,10-19 units
DP04_0008PE,1 unit attached
DP04_0007PE,1 unit detached
DP04_0009PE,2 units
DP04_0013PE,20+ units
DP04_0010PE,3-4 families per building
DP04_0011PE,5-9 units
DP04_0015PE,"Home boat, rv etc"
DP04_0014PE,Mobile home
DP04_0080PE,Value of homes
DP04_0088PE,Home $ >1m
DP04_0083PE,Home $ 100-150k
DP04_0084PE,Home $ 150-200k
DP04_0085PE,Home $ 200-300k
DP04_0086PE,Home $ 300-500k
DP04_0082PE,Home $ 50-100k
DP04_0087PE,Home $ 500k-1m
DP04_0081PE,Home $ <50k
DP04_0089PE,Median home value
DP04_0057PE,All vehicles allowed
DP04_0059PE,Have 1 vehicle
DP04_0060PE,Have 2 vehicles
DP04_0061PE,Have 3+ vehicles
DP04_0058PE,No vehicles allow
DP02_0068PE,Civilian age >18
DP02_0069PE,"Civilian age >18, veteran"
DP02_0103PE,"Foreign born, not at sea"
DP02_0106PE,Born in Africa
DP02_0105PE,Born in Asia
DP02_0104PE,Born in Europe
DP02_0108PE,Born in Latin America
DP02_0109PE,Born N America
DP02_0107PE,Born Oceania
DP04_0050PE,All year moved in
DP04_0056PE,Moved in current house <1989
DP04_0055PE,Moved in current house 1990-99
DP04_0054PE,Moved incurrent house 2000-09
DP04_0053PE,Moved in current house 2010-14
DP04_0052PE,Moved in current house 2015-16
DP04_0051PE,Moved in current house >2017
DP02_0096PE,Born outside of US
DP02_0100PE,Foreign Born
DP02_0101PE,"Foreign born, entered >2010"
DP02_0102PE,"Foreign born, entered <2010"
DP02_0097PE,"Not US born, native"
DP02_0098PE,"Not US born, native, entered >2010"
DP02_0099PE,"Not US born, native, entered <2010"
DP04_0016PE,All year built
DP04_0026PE,House built before 1939
DP04_0025PE,House built 1940-1949
DP04_0024PE,House built 1950-1959
DP04_0023PE,House built1960-1969
DP04_0022PE,House built 1970-1979
DP04_0021PE,House built 1980-1989
DP04_0020PE,House built 1990-1999
DP04_0019PE,House built 2000-2009
DP04_0018PE,House built 2010-2013
DP04_0017PE,House built >2014
